text,nwords,hashed
"@pbyvr SO SRY! still getting used to having to check @erinbatt's page, stupid new twitter rules... lol.. my fanfic is on twilighted.net ",22,-7099441933423723184
"@BlingCiCi LOL 7 Times!!  Just keep on trying to reply more but I told her, her show was good &amp; she wondered where I saw it!! ",26,1808694214171567466
@UberDorkGirlie Really? I don't believe you... http://twitter.com/arleigh/status/1966923078 ,7,-6097318426058283658
loves saying &quot;assclown(s)&quot; ,3,-4651051242801843648
@1RedDiamond it is where I live ,6,3966790448104712319
"@anotorias Im doing great thanks 4 asking, how have you been?Yeah didn't pass out, but did get a headache, a great dinner made it go away ",26,-679205094756069350
@shadism ??????? ,2,6651357157196501413
"@Mattdavelewis Best rock 'n' roll band ever, in my opinion - Manic street preachers. Their oldest stuff though!  Beatles are good though.",22,-7122524969273611733
"@purecraftybox     (will be finished film properly this week, hope to get down to you for a visit soon)",18,-8693346938855729865
@sugree http://twitpic.com/6bodo - ?????????? ,4,7148619219240887133
@Prissy13 - and you as well ,6,-1831441275681476035
"http://bit.ly/M489s   ohh, it makes me impossibly happy to see her shining. &lt;3 ",12,-7583055012291844994
"it was a no #loadshedding sunday, but transformer blasted as the luck and its dark now ",16,7417229139635142507
M?i thay avatar  D? th??ng!,5,-7359970628281509679
booking shows for our tour! then bedtime ,7,-6515772290418033660
"@suziam yeah, sigh ;) sweet &amp; flawless plan. no-one will argue with u! ",13,7921597084647985094
@pinktank1 guten morgen ladies ,4,-9156299524513297682
"Freakin' hungry, ppl. Had a short nap just now ",9,-5992755657303980286
"@happylovesChuck Oooh cool!  I also host the occasional Chuck-a-thon for Chuck newbies, we can do that too! ",17,-3971883950345469733
spent so much money today . pitt st ftw ,9,-758884824800749291
"Off for a marathon pacer 16miler with Margot and Karl. My pace, not Walczaks's ",14,663774740235258574
Off with the 'rents and aunt pam to meet grandparents and aunt karen for breakfast. I want some hot chocolate again! ,21,-3412660534080949919
Exams are nearly over  AND Its sunny  How much better can study leave get?! ,14,4719287312324411428
@GracieDarling Thanks ,2,739907561695696889
@katepickle I'll b up for that also  ,7,-4132987133770885228
"@bongikairu Thanks ka, .Eating some snacks but it doesn't help me much lol ",13,-5911278361095316057
What a beautiful day!  &lt;3,5,3281007884068464661
Photo: my fave hilary duff movie.  http://tumblr.com/xgp1wwhmh,7,4470305855974457421
@aplusk WOW! Almost 2 million followers! ,6,-7793022520951630280
@nakimiso next time daw ulit. overnight swimming. ,7,7678029715058821080
I'm up! Rise and Shine people! ,6,-2132314189760912579
@zenworm I see dirty diapers in my future... My immediate future ,11,561212704624573436
i can't stop SMILING for some reason ,7,5517487178687267721
visit my plurk account  http://www.plurk.com/JJ_josh/invite,5,5116052417882228695
"loves the state of Connecticut sun shines less, cold, nice fresh air, and haunted houses ",15,6477644692842059695
Having a summer BBQ! ,4,-7284127100498998359
"Lets C how much more amazing can this week get SRSLY!!  Job, Love, Money, &amp; Gifts, srsly, everything I want &amp; the day is not even over ",27,-6924562105908327605
"Happy Birthday to my best friend, Michelle Wong. &lt;3 ",9,-1028520723412314943
@Teairra_Monroe It's too early for you to give haters shine TT! ,11,-7751022017670290376
Viendo Back to the Future ,5,-4495468746358048833
PRETTY PLEASE SAY HI to me! ok.. ,7,-2156791956742938252
@katyperry woww! i love you! your music is absolutley fantastic! keep it cool! ,13,-4654473612265749149
"It was cute.... today is her birthday, so he wrote &quot;Will you marry me?&quot; on her birthday cake and stuck the ring in it. ",24,-7072206270345854959
@sabiathus thank you! We had such a fun show!  Now if only the tiny army of marching people in my head would stop... Mishkin x,25,-2056823286101602595
@sexyjames i'll make a drinkin break for a while ,9,-7327000641020073721
@Dameunited I never doubted that! ,5,-1036955188346354219
Sea of otters and sea lions ,6,-8129562174605612054
Happy second birthday to my baby girl Violet!  yay!,9,930139915521867193
"@twid I thought the 'US People' are the investors, not the government.  But I'm still curious why Obama didn't get his union deal wit ...",25,-2249658111364206129
getting ready for  work! plans for the night? ,8,-8737984338651461455
Just waking up. Reading orlando vs clevland recaps  see you Lakers in the finals,14,-5476602994842480777
@Dj_DUNDADA I know bra...if I take his side...arguement with her later &amp; vice versa...but if I stay out...I get the same results  Ima luzr,24,8368686123800462084
Played 62 3/4 holes this weekend ,6,-4191809431195434172
@TheDaveMyers I like them all!!  ,5,1869748164807848185
We heard that TH were played on Capital FM today! This is great news for the UK and we're really excited about it ,23,4814781930060557622
@songzyuuup -sonqzz.! 007-11 show me were yahh headd at .!  ocean7 -to much swaqq,14,-7317061009781788066
@Parsifal2 I see in my absence you're still neglecting Toffee ;-). I should be back up &amp; running by end of tomorrow. Toffee will be happy ,26,7860485378080145899
"i'm back  , i still  go to scool in this month :|",12,4188824443627318158
@AteLulu we're on it Ate Lulu! i won't sleep in 2 days. hehehe ,13,6688468146481653968
@skyeatsadriana haha every1 is. lol  Awesome!,6,-2876525990676890764
@Lilylulay You're beautiful both ways Bridget...but I guess for a change curly is interesting.  Take care. ,16,9127267418543311030
MTV AWARDS!!! ,2,-7002335260366168657
"didnt get to 100 #caches 2day. Its that time of the month and I am worn out. lol. TMI, right?! ",20,2403631281962004973
haha kristen stewart weraing sneakers with a dress  kool,9,-190059871745823722
@ksenija You watch sports? Who knew ,6,-6778793599613490789
Hangin with the fam watching the office to get them upspeed ,11,-8991334777579351953
@msAB3LLA of course you are! ,5,-4890753676651528827
@MrsNewlywed haha I thought you were too - I could have sworn I got the email saying you were. I was so confused when I couldn't DM you!! ,28,227282113466030490
Boreddddd. got my Camera today ,5,8681926681535607280
@astro_127 http://twitpic.com/66o5o - We'd gladly see even more pictures ,9,4673458366686096312
@kristenstewart9 http://twitpic.com/56a96 - aww how cute  nice to see all the cast are good mates ,15,4069730713476315624
Good Morning Every Buddy! ,4,4709672769922355258
@davidcharvet pls make sure to announce details in advance so that ppl who follow U can catch ur segments! ,19,5891744560285961478
@lucky_chica we will talk 2morrow ,5,8026945415684168424
is filled with the Holy Spirit ,6,3245758857424120620
"@jenthefangirl No, actually I was trying to see Leonard Nemoy naked in a bathtub.  Spock Prime is one GQMOFO!!!",19,5449050334553284680
@frankparenteau it kinda morphed into a huge rss feed. me no likey that. i can google stuff as well. ,19,-1840651008025141041
"@Laird_Attwood A better plan would be to just make the rest of the year awesome! I'll help, I can bring alcohols! ",21,-814329942446495049
@annamRO yeah got my dates mixed up.  they're in brissie on wed!,12,-8691263519990549965
"i am certain that i will fail business tmrw, but its ok cos after itt im seeing my bubby  WOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOooo",20,-4398926591155406877
@GraphicDZNR The one and only ,5,3338902887862538637
oh taylor is shirtless in the new moon trailer ,9,-1711089158847505030
@empika take it you've seen the leaked PSP GO stuff...more Trico please ,12,5927313568947047774
"Is going to see her 18 months old cousin today, and hopefully we will be going to the beach ",19,2609814964415759205
Last week of school. Lets make it a good one ,10,7052296020070004986
@Lara_Fletcher Yay Ice Cream!! ,4,4573900730753496789
@Erika_is_crazy Thanks  It's available for purchase in my Etsy Shop any time you're ready...,14,-3925998950381694451
@seoexpertbd yeah checked that.. and that beautiful image .. I thought its going to be a travel search engine ,19,-6928258861290287070
"2hr drive to Ikea, in the door 5 mins, fire alarm! Oh well, unscheduled sunbathing break ",16,-6624926531474049539
Good Morning @BrandiLove @RhyseRichards @NikkiBenz @LichelleMarie  The most beautiful girls on twitter,12,7508693272454325161
"@sheanmalik Thnkyu  ;ahh sounds good...i cant wait to start chilling again, gosh yur lucky lol..neway tc i am ofto revise, hurraay =/",22,1327138862387720750
I enter my 12th update I get a 13th follower! If i get really popular this could be a problem!! I am deffo not twittering on company time ,28,4313499350336484001
@tankaide @LiangJun You terrible people.. wait till your own curtains fall off the wall.. ,14,976627445978821194
"keep forgetting 2 get my time sheet 2 payroll &amp; getting yelled at 4 it....U see me EVERY DAY, doesnt that count? silly corporate policies ",25,6335814505318277683
@Ravish30 I remember napping is very important. ,7,-1386594899477002623
@jess2004 Good morning everyone!  Smile and be a positive influence in someones life today!  ,14,-992907776118129200
#Tokio Hotel homepage in 30 MINUTES!! are we all still alive yes? yes ,13,423600966036309965
@ne1else i was sweating it out waiting for my oven to reach 500C - seemed like forever. Used my oven thermometer for the first time ,25,-6343827854622868213
@divazonefashion I better show up in the first batch next time lol.  YAY let the clebrations begin ,17,-7775806133473208371
"I grabbed a baseball cap, my pillow, my ipod, New Moon and a bottle of water. I'm outside on the swing and its a beautiful day ",26,-9128547566679491298
"I had no idea there were so many Baileys, I've never seen them all in one place.  It was pretty overwhelming! ",21,-8676012726413762013
"Wow!! Got a lot of response over Prima, just for the Twitter icon too ",14,-6298011270604856456
@alachia I wish you would do more podcasts  I really enjoyed them. Hearing your thoughts on the Meta (not just WoW) was amazing!,23,4015644728831248367
going home and getting on neopets! hahaha ,7,-925881885801454490
@Rtwitt Cool... ,2,-5855316333513718180
"@RAEthoven i would be lying if i say i knew that song, heading to youtube so i can be able to judge ur music choice ",25,-9010274790423072151
@_Jupiter mhhhhhm.I always mix sweet and salty.. ,7,3585667607192092999
@monicadanger OMG whoa so are they going to have you sing...you told me you couldn't sing even though i wud buy your album anyway ,24,-3651667231349649746
@coinoprobots you like Remy too?! ,5,-9086922750387063535
Is in &quot;fine form&quot; ,4,8397576485808069760
@Rachelfurner love it Rach! Your life is so rock star! ,10,-5269615382919753398
I just fixed my myspace profile  http://www.myspace.com/simplyabbey,7,-4789535095409203420
@jpetroroy US Weekly is my guilty pleasure reading material when flying. I stock up before getting on the plane. ,19,-6255760663247906064
@BlowhornOz good ,2,-6474381285829800230
@mfmakichen Smart-ass questions are also welcome! ,6,-4232788416150421771
Yes!!!! My man is the new U.S. Champion     ,8,-5010629498661144665
@DanaDazed Lol Thank you ,4,7478004939060737911
@yygallvox thanks! eri it is. but eri and yoko is a cute couple too. ,14,-5040174723066127933
@thelovelytashap Will do Tasha P!  ,5,2707347882227176236
@Miss_Jennyy love your new profile picture! PS are those glasses from a 3D movie you went to? ;) haha it looks like it! ,23,9209010251075023855
"YESSSSSSSS!  WOOO, EFF YES! GET EM BABY!",7,-7039600498096519182
@theBerri i heart that pic ,5,2153180037218617299
@uppington I love going to bed with a sense of what I'll be writing tomorrow. ,15,527627550344005259
"@C_DIG Hey, lookie... Bill44 is trending.... must be more Albertans on tonight! ",12,-811766158010559388
@sammiegirl79 wow going to paris? I have always wanted to visit the city! Your princess is so lucky ,18,-4145742278465150847
"on d flipside, health downtime is very good thing. i get to clean my room ",15,-3363138357785172774
morning im ready and raring to go for this exam but im more excited for the wonderful girls aloud ,19,-4119811870597680566
@KrisAllenmusic Hey Kris! When are you planning to visit the Philippines? It will be great if you and Adam will have a concert here. ,24,4362872826101841676
wish i automatically knew how to work everything on Ms. ALICE MAC ,12,-7054285736863591467
Bing it's BINGO. I like it so far ,8,2540875809909252067
aww I guess twitter is messed up on my phone so I havent been on..:p what's everyone upto? Dodgers were sick today ,22,6053809636040092151
@moreMirthquake congrats ,2,353658640840491614
"just been for a run in the sun, it was so fun! ;) off to meet with my production team! ",20,15160755432874544
Heading out to Falkirk town centre to try on a kilt for my brothers wedding.  Then on to Callander Park for a walk and a picnic ,26,2810788605717993132
I'll be back later.. Im'ma nap first.  later shawty's!,9,-1363616483508432663
my brother is ominously quiet .. :S ,7,7598093025325502499
@SharonSmiles got some. Asked if a could get some and he said yes ,13,-9105069230977598887
@saritaonline Strange but I kinda miss her too after seeing her in videos uploaded by you. Goodbye Selena...xoxo ,18,-2459640944526564127
@tommcfly http://twitpic.com/6g55n - this one pleaseee ,6,4701472810531961637
"Anyone want to go to Thorpe Park on Thursday, half price - let me know! ",15,3733706561831707142
Downloading a 65MB app OTA on my iPhone. Jailbreak win ,10,3489447023172216426
"@Marawitch Freshmeat intake isn't until July, and you don't have to be able to skate, I couldn't when I started. ",20,-2671387310864897512
Try to learn French ,4,7181686481099048349
@twitt3rbug did he do his string dance? ,7,5255585892599343119
I want wave ,3,7616240769630962405
Drinking coffee....yummy ,2,-4209408883743374918
@davidtab cool  and today is Tuesday.,6,-4736774435771430594
@ratgirl77 Good question! I think @rolandrat's only got two sewers though. ,11,-66307431192871978
"Am I eavesdropping, or just witnessing?    The former I think.  Lovin' it tho.  New role for me.  I'm usually the one talking!",22,1800466524016548683
@jack_love http://twitpic.com/6g8es - awww you guys look great .. I'm sure you were blessed at the awards ,17,4363197658270188170
@krist0ph3r Bizarre! Did u put the bowl right in the centre of the micro or slightly off-centre. Off-centre heats the whole dish evenly ,23,-4125127986109477405
Last night I won 6 out of 6 games of darts. It was a good night ,16,1376066946800903162
@borly d na pala apples?  how are you na borly? still shooting? ,12,-269762372157406017
"@Cris_Most hey, got the table for 4 of us, from 10pm, just a small table hence the cheaper ÃÂ£50 per head  and fuck you its hot",26,-4013345982336717517
@jordanknight What did they used to say about the green ones again? ,12,9217152754565912044
@Natazzz Oh yeah way better! ,5,-6262834626910926742
Desperate housewives! ,2,3058432241714178775
I'm very amused by the latest tweets I got *lol* .. @DrTBrennan discussing @AgentSullivans features *lmao* .. couldn't be any funnier ,21,-70925207907787130
I am *SO EXCITED* that I get to have dinner with my husband tonight.  It's been FAR too long. ,19,8962762197322848607
"@5tu looking forward to it, she kicked ass on both MotorStorms ",11,-1933505736736196445
@LovinJK4Ever http://twitpic.com/6hazc - Why don't you like it? How mad was Heather that she wasn't in Donnie's lap?   BTW- What do al ...,23,-8786966212025892949
@aschaar  I dont graduate til the 21st...get this...on Father's Day...Boo,10,3703453807157513688
"@spanishbLiss If I could only do my nails...But, I don't they would turn out as pretty!  CUTE",17,-2537158435606306194
@mcampanella - travel agents?? let me know if you also find any good discounts on 8-track cassettes or carbon paper ,20,-7096394074527163118
@thechrismartz Probably just like my twitter call. ,7,-3542216984597252078
@MorganRatcliffe family trip (but all of the cool family) i can't wait  but i warm beach vacation won't be the same without yoou!,23,3099235275910034446
@calvinfleming do you really want me to ask? lol ,9,-4827655714797629486
Nite everybody. Pleasant dreams.  ,4,1347133578830632132
@snipeyhead - &quot;Douchebaggery&quot; happens to be my favorite &quot;douchebag&quot; variation. ,10,3046156140239127167
shares http://tinyurl.com/r3wgbj pasta with spicy tuna for lunch  http://plurk.com/p/y1tw4,9,-7048467262632820036
good morning  [08:17 am in Germany] I'm ill &gt;.&lt;,9,2833236189849818062
omg cant wait to get sims 3 ,7,-2461983101661904634
"NOOO!!! D: 13 days left, and then, my cell is mine again! ",12,6372553519519673329
@_shanika_ Hey ,2,-5552220685064160746
Off to London this evening. Any suggestions for something to do Thursday evening? Preferrably cheap ,15,-5758943439872866787
"@SteveTallamy I like this Steve, you make a very valid point here, and well put ",15,-614396850378680629
Tried a different route to work today! Well impressed! ,9,-3855024890108064132
WooHoo my new mobile has arrived ,6,-5804383285691125639
@shaundiviney drama queen ,3,-3309233490091301852
"Just bought a new synthesizer for my Goth Industrial experiments. Going to try some very harsh tunes today, a la German style ",22,-6092727642752566388
@remzology added ,2,4812961196522503909
"@dugone That would just be typical when you have a new bike for the weather to turn! Its ok, i see blue sky now so im happy! ",27,100959044994138036
@lamunro yes it's been hard here as well - sun bathing that is lol ,14,-5634318879825711521
becoming a redhead again ,4,-948455122738097139
"Beautiful sunny morning, enjoy the day ",6,900603022622236910
says good evening plurkies!  http://plurk.com/p/y3vzl,5,-6773896057848182050
"Running late today, I got distracted by the suite life of zack and cody  Im making pasta and tuna then I'm off to work xxx",25,-1876456964325732272
&quot;Hump Day&quot; can be challenging; what are YOU going to do to make sure this is a good day? ,19,753888772273180626
"@philly_girl I must say, I'm not enjoying this new layout ",10,-1051975191680797308
@lukaswinn hahaha I know LOL I will actually  so y'all can see my babyall cleaned off!,16,-568994527924096568
"...I just lost the game, folks.  I love you all too.",11,5333493782661439246
"Cool, rainy day but that's okay. I have lots of inside things I should get done &amp; if the sun was shining I would want to be outside ",28,-2430667308596616232
Just launched the new Wacky Wednesday Sale. Easy turnkey website in a HOT niche at a &quot;wacky&quot; price.     http://ezclik.com/is/easyturnkey,19,-897109942310241350
"@delisyaputri baik buruk nih ahha bsk aku exam baby, aduuh doain aku yaa hihiih smg bsk aku bs ngerjain soal dng baik amin amin  thanks ya",26,-8316906918202585268
"@BoutiqueKarma @crossmyheartjwl @Chloejessica @buttercupbloom @alexandrakeller thanks for the giveaway tweets, nicies! ",11,3630425391822409435
I love when the clouds look like they were made with a paint brush ,14,-876195136087862373
"@gschan Keloid on chest = accumulated phlegm maybe. No, im sure. Get well soon. ",14,8849190015090039532
@GameHouse doing well. Just been busy running Imagine Cup competition stuff and reviewing some big games like inFAMOUS and Red Faction. ,21,1836888138048347826
going around nudging people. it's amusing ,6,-4954610333527107733
@jaybranch IÃ¢ÂÂm honored! Thank you! ,5,1456241734011776507
"@freshbooks thanks  that way it would factor it in on top of total 4 client if choose online payment, but wouldn't if choose check",24,3549910653417608287
@tomfelton i was wondering how is the new hair? Is it very different or just bleached lol  XX,18,2153248415304315852
i am in a creative mood today  yay finally..maybe ill get some layouts made,14,6552847611678812643
"@nymedium you get the card &quot;Solitude&quot; time to renew your soul. Ur higher self is guiding u. Connect w nature, spend time contimplating. ",23,-276598882712767622
sleeping while its raining outside is one of my fave things to do ,13,-1043095373903105202
@yourfallenangel i'm proud of u baby. I'm sure this first week will be the hardest  ur doin great!,18,7270149200834554711
"Got my haircut, went for a run with Bella....now waiting to go golfing. I love being home! ",17,8953730895255258499
good morning ,2,-3092149920698688912
@WeightWatcher20 It is good to see you back on track. I actually had to get back on track also.  What do you normally eat at breakfast?,26,1877653282425130559
@pironio Indeed. It's a matter of how you spread it and what you grow with it. ,16,4348059978834331784
"Bored and assignmentless, someone should talk to me ",8,-527740198509839008
I am just messing around with twitter... trying to see what it's about ,13,-3035613298546863208
"#FollowFriday @ThaWiz @SoulMafia @robromoni @diablocody @iamrickyboy @stephjonesmusic why? cause they're all the shit, that's why! ",15,2731169523516356573
@beaujns I don't like to keep my fans waiting. ,9,-189885850761291203
i feel so much better..just got out of the shower  going to hang out w/ my favs!,17,85966389916748099
@BeckyWilson27 ,1,6613832949929175431
"I do believe, in some parts of the world it is still naked friday  http://tinyurl.com/py4z2a",15,7890769660914739277
@playshakespeare Oxfordddd ,2,668058890229331092
@YoungQ wats up..you know how we do..a tornado could come throught that show we would hold on to a pole and keep watching the show ,25,3497365720726818257
schools over for me! whooo hoooo  i'm stoked on that !! off to kauai on sunday...,16,2206038698949045584
@littlefishey LOL..... you need a FURMINATOR ,6,6303792361723157008
@TheKellanLutz I think your winning you have me lol ,9,-6006920746191442849
@BombshellStamps @papergrace Thanks for the follow fridays ,7,-2474248963809602157
is excited for SCUBA classes in July! ,7,8925329913885870382
At the movies ,3,818498365124209309
sims 3 is fun ,4,-5059743651336254876
"Think: Is it so hard for Christians to follow Christ?  Christians everywhere, live for Christ, live for the eternal hope you have!  ",22,-8796295137431607176
"A romantic evening at Geoffrey's in Malibu, CA. Under a starry sky and with roaring ocean waves ahead  http://is.gd/NMdX",19,-4383660328998575027
@C_Eaton I'm down with UP!!! ,5,5691626450957940903
"Coldplay concert just ended. It was awesome! Such a fun, energetic couple of hours. ",14,7388972228498746376
"@MelRy217 You and Tye are so CUTE! Im coming to Texas next week!  It'd be amazing to meet you, but I'll be doing mission work in Arlington",27,618584704849750465
@lgladdy Hey! Don't be too hard on Americans. ,8,-5196607585725845531
Watching My Best Friend's Girl on Blu-Ray...Dane Cook being himself + Andrew Dice Clay...awesome  #fb,15,-5570257741924401669
@DonnieWahlberg You are kickin' some ass baby!!!  That show was HOT!!! I think that's the HOTTEST performance eva'!  U  F*CKIN ROCK!!! ,21,1319693327079678639
@PaulaAbdul OMG I LOVED Wicked! Did you enjoy it? It's my favorite broadway musical! ,14,-1525028510204881802
@AmandaLovesYouu hahaha nooo Pineapple Express quoting ,6,2109701130911385566
@MadamSalami oooh excellent!  have you sold from the shop yet? i cannot remember,13,-5567461164707888229
"@lesley007 Haha, don't worry lol ",5,1782093348555769241
"@sirahsirah yes, the beer will hide the cold  ",8,3981188390947209838
ENOUGH GUiTAR HERO FOR ME TONiGHT. OR THiS MORNiNG LOL [FiNGER CRAMPS] ...OFF TO READ THE COUNT OF MONTE CRiSTO [ FAV. BOOK ]    ,24,9213601422545939101
Kaki King is the one.....great guitarist/cool person ( on Spicks &amp; Specks the other night ) Do yourself a favour and get into her music ! ,26,937953068770634549
"ahm up! aaran fed n snorin, lee fed, me fed, me coffeed, wii sports ",14,-448015805582064273
"mini sorority reunion planning occured tonight. gonna party like I am undergrad again, with matching t-shirts. oh yeah!  ",18,1048212906800095604
@Thani_nasser lol did ur mum fix your foot? yet?  btw your mum is so cute ,15,-8183505811901895001
"@margolicious Aw, thank you  He does treat me very well. I'm really lucky to have him &lt;3",17,-6507100045335020054
drinkin' with the roomies and ridge 202 boys.... just like old times ,12,3848572625683372666
Waking up in Vegas  http://bit.ly/W7Mal,5,8327802596893995083
@Henrietta_ and I can just see which type of hospital too... ,11,-3846075537601402248
"@MrsFishes sweet, come with me ?  i'm a pussy. ha then maybe if @brittneycamargo finds out what class she's taking i can register for that",25,-1615311230685297595
@jaderoberts91 Thanks for the follow! ,5,-8829983480405622366
@katalina42 thank youuuuu ,3,-7922663044278498634
@jannarden have a nice walk chickie! how about puttin up some pics after?would love to see that ,17,8076815932467933203
"@kel_mul A daily struggle, but I'm trying. We'll see where this goes. ",12,-677177508794536671
Yeah It's water purifier commercial! ,5,5271243515866366304
"we're gonna go play tennis now, so TWEET TO YOU LATER ! xxx NEA &amp; NICOLE (a.k.a. Batman and Superman) ",20,-5132969733429809615
@TorrenceG usually I am unless he sets a 5:30 ,9,7824487242397060029
"@1capplegate , looks beautiful.  ",4,8824634513388150934
"studyin for a while, then having a movie day ",9,1864816140118912476
"@toastgal Hope you slept well last night!! Enjoy your morning java, my sista! ",13,-3216580048749684259
Tried the Uncharted 2 BETA...again...its getting better and better each time   every1 watch out for teh MLGz today on Xbox Live...its hell,22,5964472622616805860
Its my birthday! Turned 20  !!!,6,3853214497233225662
"Gah, it's so windy here today that I think I'll get blown over if I try to work in the garden.  ",21,-3656110594709236564
http://www.myspace.com/478560798 uhm; add me ,4,-8921562618093448779
is watching banana split!  http://plurk.com/p/ywa4k,5,5131735273242545936
just watched somthing on TAYLOR SWIFT! ,6,-8619910642249980710
"@kevj liked the MSNBC article, cool stuff! ",7,8320913703593891335
@mrs_nickj07 I don't Want the music to end either  But Nick Was Awesome With The Sports Last Night ,18,4773623299278142387
grad party tonight! woohoo! hanging with family. ,7,6058456667034584564
@Teddi14 Hey Teddi! Thanks for recommendation! ,6,-7616532971784125028
With Sarah ready for an amzing dayy!! ,7,3262458582265907821
http://twitpic.com/6r4te - pix from last night. doesn't my hair look soo good! ,12,-2837746915907160650
@Paloma86 Boo Bring Me Some Air In A Bottle ,9,9129277950778476352
graduation party today..then making wedding favors tomorrow!! i might be more excited about this wedding than my own ,18,-4366372755342191204
@terri5me2000 teehee!It's mostly for the horses.Am I mean that I planted right next to the barn where the horses can stare at it all day? ,25,-9158316334389554895
@GirltaristHan that sounds like a good treat for yourself after a move! ,12,-1147959318321213983
@The_Dave_I_know So cute! Thanks a lot Dave ,7,-6402314316159234645
Get off the lab table Poop Stain! Your butt sweat will react with the chemicals left on the table and you will have a rash from hell!! ,27,-1156574232909784789
Picking up lunch and then leaving Cullman! ,7,8164128328024998107
66 degrees with a breeze in LA.  Do not miss texas today. ,12,-8892483373143484819
we have ordered pizza ,4,4671814632007436155
doesn't care either way.  #croukrainegame,5,4030449793631080177
at a movie night  watching dude where's my car,9,708048262244348460
@principessa120 have fun @ your party bbygrl ,7,-3962335609718057023
@Pashaaf yes your welcomee !!!  where do you come from?,10,-9178776566095324745
"HÃ?  1ÃÂº POST NO TWITTER   HOJE FUI NO BALLON WATER MAIS FUI SÃÂ NO 1ÃÂº ROUND, FOI UMA DROGA --'",20,-6732848049396644928
"Wow, only 92 days left till my big sisters wedding! Can't wait ",12,-702293206979119934
waiting for the game! lets go team!!! ,7,-7092468931952593000
@flapjack50 that was going to be my next suggestion but I felt sure I would crash and burn with that one! ,21,-5887104606159702411
The Monkees Ã¢ÂÂ I Wanna Be Free Ã¢ÂÂÃ¢ÂÂÃ¢ÂÂÃ¢ÂÂÃ¢ÂÂÃ¢ÂÂÃ¢ÂÂ good morning Cecilia  @rjmarmol Ã¢ÂÂ« http://blip.fm/~7rfq0,20,-6125174415615186473
@DearHavanah hey ... thanks for the add ... I'll check our your music asap  love love love xxx,18,-5524419208459861266
@juhidee119 @xxkassyxx pull n peel is the best. I just realized twizzlers is made by hershey and Im going there in the summer!!! ,23,-1936403960119329710
@emmaelizabeth one minute left but happy birthday  I mean legal to drink day ;D,14,-2577594359443448163
is  I graduated today.!,4,7961628364595465540
Just got my ears pierced!!! ,5,2416899342946443277
"@Beela_arg okay, so tomorrow, when you use your computer, get in your msn. ",13,-7609541236666018328
wow! i had a great sleep. good morning everyone. hehe. . have a nice day ,15,-9197789843597252415
@Bdcrawford hey grandma (again) congrats ,5,2917847136132014507
"@mileycyrus &quot;Do not add days to your life, but life to your days.&quot;  Love Miley Baby  Ã¢ÂÂ¥Ã¢ÂÂ¥Ã¢ÂÂ¥Ã¢ÂÂ¥",17,124975851287375456
@gimboland hey did you go? Yeah I had fun  sims 3 playing and watching tv ,15,1650428572189107330
@marychastain just curious ,3,-4140709289127507006
"im off to get ready  see you later,.. maybe people wil update while im gone lol ",16,3681366237144510694
"@esskeimusic  for sure, not even opening, maybe same bill - somethin like Virgin fest  ",14,-578995408717599680
All the guys working at Vans were cute!  and really nice ,11,-4385373599730560604
"@Owl311 Gracias, Amigo it is good to be back, I am now sunburned and probably will have skin cancer by next June however ",23,-6231576101128892189
watching Armagedon &amp; eating goldfish&lt;3. woohoo for saturdays in bed ,10,-1182688826848422510
"@ReneeGay Well when you DO get it, I want to know what starter you get ",15,8176627929233866295
"G'night everyone! I hope to be twittering tomorrow...if not, someone can have my future fame  hehe &lt;-Kay &gt;",18,-4551612485417596711
@tommcfly if you would like to broaden your fan horizons you could always come to americaaaa ,16,-4636551627192227217
I'm not coming! Senior grad all nighter at the summit...  *MzGood*,11,-49978719212598236
Goodnight and goodbye!! OMJOE i love that song ,8,1345495208278539895
"@X0gossipgirlX0 naughty K ha ha wish I was wasted but have had no wine for two weeks, but will make up for it in the UK! ",26,-4663585345311746257
@archfanatic13 http://www.youtube.com/user/vickyylovesyou check it out ,5,5974070642573527559
@CEDESBITCH thanks ,2,-2647828046323281639
@SoberJazz glad you had a great time ,7,-6468974979610359597
@SherryFowler The snake that eats its tail to symbolize eternity.  ,10,-5327464522128708355
Cant wait for tomorrow its gonna be so much fun ,10,418343211374424071
Listening to *Falls Away* One of my favs  @DawnRichard,9,5076297881626990696
Walnut Creek was fun today  Time to Sleep. Nite Tweet's,10,2053339490223017661
"@jodz i know i know, following multiple threads at once  soz",11,-1763521377351393213
Great night. Franklin might not be that bad after all ,10,-6551458218493188587
1 more update then 60 ! ,6,3128893206833634665
we have people over!! there are two little boys here and they are adorable!! ,14,-8724835662793733185
"Good morning twitterererers, Will catch you all later, time for a quick breakfast, then off out for the day.  Fingers crossed no rain!!! ",23,-6145510118703859567
@ewinkler Hi Elizabeth! Thanks for following me and many congrats on being shortlisted for the Guild of Food WritersÃ¢ÂÂ awards - good luck ,23,8875166478583662349
Hanging with lauren steph and mason. Reminiscing.   &lt;3 Chrissy,9,-2968501187873799066
"@Bluebee3 AAAND also remixes of Single, and Summertime ",8,8105156539821330636
"Watching the full moon tonite, should be good ",8,-7505359893129955183
@Kaye_Lovely what's yo myspace? Dependin on the space pix...it could possible if ever the chance arise ,16,7730587373043603562
and i LOVED drag me to hell  so so so good. definately the best horror i've seen in a while ,20,7970879960972690274
